-1,-0.9375,1
-1.375,-0.4375,1.375
1.0625,-1.1875,0.625
3.125,-1.125,1.3125
2.3125,-0.8125,2.1875
-1.5625,-0.75,1.875
-3.75,-0.25,1.5
-2.625,0,2.25
-3.8125,0.1875,2.5
-5.9375,0,1.5625
-1.75,-1.375,1.5625
-0.4375,-2.6875,1.1875
0.5,-3.9375,0.6875
3.875,-5,1.6875
5.625,3.6875,6.25
-12.375,35.25,14.5
-87.75,93.0625,31.375
-145.438,193.688,53.375
-161.25,271.5,107.688
-143.375,267.375,105.625
-127.5,249.938,90.6875
-135.688,205.625,59.625
-85,144.25,34.75
-0.3125,104.75,38.6875
24.4375,89.5,32.375
3.25,77.75,42
-13.5,62.8125,38
-10.0625,37,27.875
8,18,17.0625
17.125,4.75,5.125
26.625,-3.6875,-1.6875
25.125,-7.125,-2.6875
16.5625,-9.375,-4.8125
18.0625,-9.75,-4.0625
12.375,-9.1875,-1.8125
0.8125,-7,1.8125
2.5625,-6.5625,2
10.4375,-6.875,0.8125
9.5,-8.8125,-0.375
3.3125,-8.8125,-0.625
-1.375,-7.625,-1.3125
0.25,-6.3125,-1.9375
5.375,-4.0625,0.5625
-1.5,-1.6875,2.1875
-7.9375,0.9375,3.0625
-7.8125,1.0625,2.125
0.0625,-0.5,0.1875
3.625,-1.375,1.75
0.0625,-1.25,0.4375
0.75,-0.3125,0.4375
-1.75,-0.4375,-0.125
1.875,-0.4375,0.0625
1.5,-1.1875,0.5625
0.4375,-2,0.3125
0.125,-3.5,-0.75
4.875,-4.3125,-1.25
7.4375,-4.625,0.375
3.25,-3.625,0.5625
-0.875,-2.1875,0.3125
-0.4375,-1.5625,0.5625
-0.375,-1,1
0.375,0.5625,0.8125
0.75,0.25,0.5
0.875,0.1875,0.875
0.8125,0.1875,0.4375
-0.625,0.0625,-0.125
-0.5625,1.0625,0.5625
-1.625,1.75,1.25
-1.1875,1.9375,0.9375
-2.5,2.0625,0.625
-4.375,3.0625,1.3125
-2.9375,2.3125,0.3125
-3.4375,2.25,0.5
-4.0625,1.9375,-0.125
-4,2,-0.4375
-1.25,2.125,-0.8125
1.5625,2.1875,-0.1875
2.75,2.1875,1.25
8.9375,0.75,5.625
15.0625,-2.25,14.8125
17.75,-10.0625,25.625
5.625,-15.6875,46.5
-5.375,-24.4375,74.125
-22.0625,-40.875,117.5
-62.6875,-61.6875,167
-108,-84.875,214.25
-114.313,-98.0625,257.25
-92.875,-106.063,277
-70.4375,-106.875,258.438
-36.4375,-104.313,212.688
11.8125,-74.375,154.313
52.25,-45,86.4375
50.875,-20.375,35.4375
28.75,-3,9.125
19.1875,6.5,-0.3125
12.1875,11.6875,-5.8125
0.6875,9.5,-12.6875
-3.5625,7.5,-16.625
4.625,4.8125,-18.1875
8.125,3.5625,-14.4375
2.25,2.5,-10.875
0.125,2.5625,-5.0625
4.8125,3.125,0.9375
0.3125,-1.1875,2.375
-4.875,-3.375,5.125
-2.125,-6.125,8.5
3.875,-7.0625,9.75
-1.8125,-8.9375,8.4375
-3.875,-9.25,8.625
-1.8125,-9.6875,7.875
-3.3125,-12.0625,5.4375
-10.375,-13.375,4.8125
-12.3125,-9.8125,5.5625
-7.125,-8.125,4.8125
-0.625,-7.875,3.6875
-3.5625,-6.8125,5
-6.75,-4.0625,5.375
-3.625,-2.625,5.625
-2.375,-1.875,5.75
-1.125,-0.5625,6.0625
-2.8125,0.375,4.875
-0.3125,1.6875,3.1875
0.0625,0.4375,1.8125
-3.75,-3.5,-0.875
-2.625,-3,0.3125
3.75,-1.6875,-0.375
5.375,-0.125,-2
3,0.4375,-2.1875
-0.875,-0.1875,-1.9375
-1.4375,-0.3125,-0.8125
-2,-1.375,0.125
-5.1875,-2.9375,0
-5.4375,-2.25,0.4375
-2,-1.375,0.5625
-2.375,-1.5,0.75
-2.6875,-1.5,1.5
-3.375,-2.3125,2
-2.4375,-2.5,1.3125
1.375,-1.5625,1.5
2.3125,-1.25,0.625
